"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 13","Magonote, Rifujin na; , Shirotaka","Airship","2021-11-16","Paperback","320","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","13","English","9781648273223","","https://www.amazon.com/dp/164827322X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/511mtSC3HOL._SL500_.jpg","WEDDED BLISS--OR BANE?!



A new chapter of Rudeus' life beckons as he throws himself into his research, house-hunting, and planning a wedding. But then an unexpected letter, bearing shocking news, arrives to interrupt the young couple's domestic dreams. It seems the past still isn't done with Rudeus, and neither is a certain mysterious white-masked girl!","","14.93","TV, Movie, Video Game Adaptations","4.28","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 14","Magonote, Rifujin na; , Shirotaka","Airship","2022-01-18","Paperback","364","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","14","English","9781648273605","","https://www.amazon.com/dp/1648273602?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51FM6HopoGL._SL500_.jpg","WEDDED BLISS--OR BANE?!



A new chapter of Rudeus' life beckons as he throws himself into his research, house-hunting, and planning a wedding. But then an unexpected letter, bearing shocking news, arrives to interrupt the young couple's domestic dreams. It seems the past still isn't done with Rudeus, and neither is a certain mysterious white-masked girl!","","14.87","TV, Movie, Video Game Adaptations","4.53","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 15","Magonote, Rifujin na; , Shirotaka","Airship","2022-04-05","Paperback","380","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","15","English","9781638581284","","https://www.amazon.com/dp/1638581282?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51hZP1wuBJL._SL500_.jpg","Silent Sevenstars, the mysterious special student at the Ranoa University of Magic, turns out to be the very same high school girl Rudeus died to save in his past life. While Rudeus has thrived in their new world, she's only suffered, and now she hopes to recruit him to help find a way back home. Meanwhile, Rudeus faces doubts about his true feelings for the effeminate knight named Fitz. Might he finally learn Fitz's true identity...?","","13.99","TV, Movie, Video Game Adaptations","4.65","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 16","Magonote, Rifujin na; , Shirotaka","Airship","2022-05-17","Paperback","380","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","16","English","9781638581949","","https://www.amazon.com/dp/1638581940?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51pTIZPV0fL._SL500_.jpg","LONG LIVE THE KING

Now officially Dragon God Orsted’s underling, Rudeus receives his first mission: to make Princess Arielle the next king of Asura Kingdom! Mighty as the endeavor might seem, it’s just the first of many steps he’ll have to take if he’s going to help Orsted bring down the Man God.","","15.19","TV, Movie, Video Game Adaptations","4.33","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 17","Magonote, Rifujin na; , Shirotaka","Seven Seas","2022-07-12","Paperback","380","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","17","English","9781638582410","","https://www.amazon.com/dp/B0CPYV25Q3?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/515u0hWhhjL._SL500_.jpg","THE PRINCESS AND HER KNIGHT

Rudeus plunges into the political fray, enacting Orsted’s plan to put Ariel on the throne of the Asura Kingdom. Though fortune seems to favor them at first, the crafty Man God has one last card up his sleeve⁠—a dangerous foe they must face before the new monarch can assume her crown. Worse yet, there may be a traitor in their midst!","","1999.0","Subjects","4.48","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 18","Magonote, Rifujin na; , Shirotaka","National Geographic Books","2022-01-18","Paperback","","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","18","en","9781638583509","","https://www.goodreads.com/book/show/60041737-mushoku-tensei","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663130383l/60041737._SX98_.jpg","FURRY FRIENDS

In the years since Ariel took the throne, Rudeus has been keeping busy carrying out missions for Orsted and even finding time to save an old friend from slave traders. Then a letter arrives from the Doldia Village, seeking his help with the Sacred Beast’s shocking disappearance! Can Rudeus explain his unintended dognapping? Or is he about to have yet another diplomatic incident on his hands?","","","Light-novel","4.12","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 19","Magonote, Rifujin na; , Shirotaka","National Geographic Books","2017-10-24","Paperback","","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","19","en","9781638587651","","https://www.goodreads.com/book/show/61259788-mushoku-tensei","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664249022l/61259788._SX98_.jpg","THE MAN-GOD'S NEXT MOVE
The Shirone Kingdom summons Zanoba home, saying they need more manpower to weather a recent coup d'etat, but Rudeus doesn't buy it: could it be a trap from the Man-God? He and Roxy travel with Zanoba as protection, only to come face-to-face with the fifth of the Seven Great Powers: Randolph Marianne, the Death God. It'll be hard work to best the Man-God's machinations, especially when Rudeus never quite knows who to trust!","","","Light-novel","4.37","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 20","Magonote, Rifujin na; , Shirotaka","Airship","2023-01-31","Paperback","364","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","20","English","9781638588603","","https://www.amazon.com/dp/1638588600?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51F1BjMyZQL._SL500_.jpg","WHAT THE FUTURE HOLDS Magical calamity has sent Rudeus to the opposite end of the world! But the journey itself is not without its own excitement. On the way to his hometown, he comes to the aid of a rather scantily-clad young girl. In return for his aid, she offers to grand him a wish, anything that he wants. The ability he receives is certainly powerful and Rudeus soon finds himself getting glimpses into the future–but even a fancy new power can’t keep him out of trouble.","","11.99","Genre Fiction","4.20","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 21","Magonote, Rifujin na; , Shirotaka","Airship","2023-03-21","Paperback","332","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","21","English","9781638589785","","https://www.amazon.com/dp/163858978X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51q47LU-t5L._SL500_.jpg","WHERE IS ZENITH?
Zenith--Rudeus's mother--has been kidnapped. Rudeus runs himself ragged searching for her in every corner of Millishion, following his late father Paul's orders to protect her at all costs. Ever on the back foot and outmaneuvered at every turn, Rudeus struggles to break through adversity and bring his mother back, safe and sound.","","13.6","Genre Fiction","4.45","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 22","Magonote, Rifujin na; , Shirotaka","Airship","2023-06-06","Paperback","380","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","22","English","9781685796365","","https://www.amazon.com/dp/1685796362?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51+jfteBWjL._SL500_.jpg","これまで身を隠し続けていたヒトガミの使徒がついに発覚した!!
対抗するために戦力を集めることになったルーデウスは、魔大陸に君臨する不死魔王アトーフェを説得することに。
強力な味方を引き連れ、魔大陸を訪れるルーデウス。
だが、一癖も二癖もある相手に交渉は難航し!?
「アトーフェ様。戦う前に、一つ、私の話を聞いてはいただけないでしょうか」
立ちはだかる話の通じない魔王。傍若無人な彼女に対してルーデウス一行は……。
人生やり直し型転生ファンタジー第二十二弾、開幕!!","","14.87","Genre Fiction","4.33","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 23","Magonote, Rifujin na; , Shirotaka","Airship","2023-08-15","Paperback","380","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","23","English","9781685796457","","https://www.amazon.com/dp/1685796451?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51QKYGDyyKL._SL500_.jpg","PERUGIUS’S DIVINE TRIAL

Rudeus’s fourth child, Sieghart, is born with the same crop of bright-green hair that Laplace was once feared for. The omen grows ever more ill when a familiar of Perugius’s appears and commands Rudeus to bring his newborn son to the floating fortress! Rudeus swears that his plans to fight Laplace are unchanged and that he’ll accept any fate for the sake of his family…but will that be enough for Perugius?","","15.99","Genre Fiction","4.38","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 24","Magonote, Rifujin na; , Shirotaka","Airship","2023-10-17","Paperback","308","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","24","English","9781685794705","","https://www.amazon.com/dp/168579470X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51FWKEU2UnL._SL500_.jpg","Death is only the beginning in this epic and influential fantasy light novel series that spawned a manga adaptation (and a manga Mushoku Roxy Gets Serious ), all available from Seven Seas. And don’t miss the new anime!

Kicked out by his family and wandering the streets, an unemployed 34-year-old shut-in thinks he’s hit rock-bottom—just as he’s hit and killed by a speeding truck! Awakening to find himself reborn as an infant in a world of swords and sorcery, but with the memories of his first life intact, Rudeus Greyrat is determined not to repeat his past mistakes. He’s going to make the most of this reincarnation as he sets off on the adventure of a second lifetime!","","15.99","Genre Fiction","4.43","06/26/2025","","","","","","","","Mushoku Tensei"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 25","Magonote, Rifujin na; , Shirotaka","Seven Seas Entertainment","2017-04-18","Paperback","198","無職転生: 異世界行ったら本気だす [Mushoku Tensei: Isekai Ittara Honki Dasu]","25","en","9781685795719","","https://www.goodreads.com/book/show/125071297-mushoku-tensei","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684790003l/125071297._SX98_.jpg","デッドエンド再び!? 手に汗握る決戦の勝者は……?

各地の通信石版と転移魔法陣が機能停止する中、スペルド族の村へと集結するルーデウスと仲間たち。
そんなスペルド族の村にギースの思惑通り、ビヘイリル王国の討伐隊が迫っていた。さらに討伐隊とともに、北神カールマン三世、元剣神ガル・ファリオン、鬼神マルタの三人が現れる。
世界最強レベルの戦闘力を持つ強敵を相手に、ルーデウス達の命運をかけた決戦の火蓋が切られる!!
「……俺は龍神配下、『泥沼』のルーデウス・グレイラット」
「! 我が名は『北神』アレクサンダー・カールマン・ライバック!」
一方で、決戦の場に姿を現さないギースの行方は……?
人生やり直し型転生ファンタジー、激動の第二十五弾!!","","","Light-novel","4.57","06/26/2025","","","","","","","","Mushoku Tensei"
